Nation,Age Group,Count
France,Under 24,2.0
England,Under 24,4.0
Brazil,Under 24,3.0
Germany,Under 24,2.0
Spain,Under 24,3.0
Portugal,Under 24,2.0
Argentina,Under 24,1.0
Italy,Under 24,1.0
Croatia,Under 24,2.0
Morocco,Under 24,3.0
Nigeria,Under 24,2.0
Japan,Under 24,1.0
Senegal,Under 24,5.0
United States,Under 24,10.0
South Korea,Under 24,2.0
Australia,Under 24,2.0
Mexico,Under 24,8.0
Iran,Under 24,1.0
New Zealand,Under 24,7.0
Netherlands,Under 24,2.0
France,24-29 Peak,16.0
England,24-29 Peak,12.0
Brazil,24-29 Peak,12.0
Germany,24-29 Peak,10.0
Spain,24-29 Peak,12.0
Portugal,24-29 Peak,13.0
Argentina,24-29 Peak,10.0
Italy,24-29 Peak,15.0
Croatia,24-29 Peak,14.0
Morocco,24-29 Peak,12.0
Nigeria,24-29 Peak,18.0
Japan,24-29 Peak,19.0
Senegal,24-29 Peak,10.0
United States,24-29 Peak,10.0
South Korea,24-29 Peak,11.0
Australia,24-29 Peak,13.0
Mexico,24-29 Peak,11.0
Iran,24-29 Peak,4.0
New Zealand,24-29 Peak,10.0
Netherlands,24-29 Peak,6.0
France,30+ Aging,5.0
England,30+ Aging,7.0
Brazil,30+ Aging,8.0
Germany,30+ Aging,11.0
Spain,30+ Aging,8.0
Portugal,30+ Aging,8.0
Argentina,30+ Aging,12.0
Italy,30+ Aging,7.0
Croatia,30+ Aging,7.0
Morocco,30+ Aging,8.0
Nigeria,30+ Aging,3.0
Japan,30+ Aging,3.0
Senegal,30+ Aging,8.0
United States,30+ Aging,3.0
South Korea,30+ Aging,10.0
Australia,30+ Aging,8.0
Mexico,30+ Aging,4.0
Iran,30+ Aging,4.0
New Zealand,30+ Aging,6.0
Netherlands,30+ Aging,4.0
