TEAM,win_pct,final_pct,semi_pct,r16_pct,group_adv_pct,confederation,composite_score,rank,Flag,Team with Flag
Spain,13.99,20.55,41.66,77.13,98.55,UEFA,0.818764229251677,1,🇪🇸,🇪🇸 Spain
England,12.2,18.58,37.75,74.66,96.9,UEFA,0.79504076176412,2,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,9.13,14.58,29.29,64.86,87.14,UEFA,0.755580801093084,4,🇫🇷,🇫🇷 France
Argentina,8.65,14.09,28.0,60.11,79.8,CONMEBOL,0.769069598717904,3,🇦🇷,🇦🇷 Argentina
Portugal,8.0,14.07,27.86,66.16,91.04,UEFA,0.724843942037694,5,🇵🇹,🇵🇹 Portugal
Germany,6.61,12.08,23.95,66.24,96.79,UEFA,0.664882462299632,7,🇩🇪,🇩🇪 Germany
Netherlands,6.58,11.69,23.57,61.35,87.06,UEFA,0.690282540389946,6,🇳🇱,🇳🇱 Netherlands
Brazil,4.67,9.6,18.92,57.92,89.5,CONMEBOL,0.626296004610937,8,🇧🇷,🇧🇷 Brazil
Morocco,3.5,7.83,15.71,51.29,81.72,CAF,0.61098001462239,9,🇲🇦,🇲🇦 Morocco
Croatia,3.34,6.98,13.82,46.48,73.46,UEFA,0.603727630982333,10,🇭🇷,🇭🇷 Croatia
Japan,2.64,6.11,11.9,44.73,73.44,AFC,0.573045354145281,11,🇯🇵,🇯🇵 Japan
Belgium,2.51,5.74,11.21,48.04,83.25,UEFA,0.541480677111726,12,🇧🇪,🇧🇪 Belgium
Iran,1.94,4.9,9.73,41.24,74.0,AFC,0.522802193214813,13,🇮🇷,🇮🇷 Iran
Australia,1.84,4.63,9.73,47.41,86.55,AFC,0.501947180414841,14,🇦🇺,🇦🇺 Australia
Ivory Coast,1.56,4.35,8.45,43.45,84.42,CAF,0.472651973949496,18,🇨🇮,🇨🇮 Ivory Coast
Senegal,1.46,4.19,8.39,41.33,77.3,CAF,0.500767631069931,15,🇸🇳,🇸🇳 Senegal
United States,1.44,4.03,7.68,42.24,83.79,CONCACAF,0.470208854915004,19,🇺🇸,🇺🇸 United States
Mexico,1.33,3.66,7.66,36.66,70.58,CONCACAF,0.47873567989989,17,🇲🇽,🇲🇽 Mexico
South Korea,1.24,3.66,7.66,40.74,77.58,AFC,0.480470758330594,16,🇰🇷,🇰🇷 South Korea
Switzerland,1.08,3.71,7.56,41.49,81.75,UEFA,0.469478446223158,20,🇨🇭,🇨🇭 Switzerland
Algeria,0.81,2.75,5.42,35.03,73.81,CAF,0.415856903079674,21,🇩🇿,🇩🇿 Algeria
Norway,0.52,2.01,3.81,30.34,69.38,UEFA,0.382311580208652,24,🇳🇴,🇳🇴 Norway
Uzbekistan,0.51,1.65,3.09,28.58,68.95,AFC,0.363539469965017,27,🇺🇿,🇺🇿 Uzbekistan
Egypt,0.5,1.76,3.44,27.83,62.25,CAF,0.38990622704893,22,🇪🇬,🇪🇬 Egypt
Turkey,0.46,1.68,3.2,30.13,74.15,UEFA,0.348104622291493,28,🇹🇷,🇹🇷 Turkey
Canada,0.46,1.58,3.11,30.89,80.01,CONCACAF,0.326876528287691,30,🇨🇦,🇨🇦 Canada
Tunisia,0.43,1.52,3.04,23.67,54.26,CAF,0.387687676652515,23,🇹🇳,🇹🇳 Tunisia
New Zealand,0.41,1.31,2.69,22.04,50.71,OFC,0.376776208892702,26,🇳🇿,🇳🇿 New Zealand
Uruguay,0.33,1.47,2.95,26.72,63.41,CONMEBOL,0.379129900528284,25,🇺🇾,🇺🇾 Uruguay
Sweden,0.31,1.12,2.03,20.3,54.22,UEFA,0.314982946461601,31,🇸🇪,🇸🇪 Sweden
Ghana,0.29,1.1,2.19,22.87,59.3,CAF,0.332794568656885,29,🇬🇭,🇬🇭 Ghana
Czech Republic,0.19,0.82,1.64,22.13,63.76,UEFA,0.286951234342348,34,🇨🇿,🇨🇿 Czech Republic
Austria,0.17,0.78,1.66,22.47,63.36,UEFA,0.289203169437884,33,🇦🇹,🇦🇹 Austria
Saudi Arabia,0.16,0.78,1.61,19.5,55.52,AFC,0.285452068024721,36,🇸🇦,🇸🇦 Saudi Arabia
Jordan,0.13,0.64,1.25,18.22,54.04,AFC,0.286321149147203,35,🇯🇴,🇯🇴 Jordan
Colombia,0.12,0.7,1.44,18.26,49.67,CONMEBOL,0.312840786762585,32,🇨🇴,🇨🇴 Colombia
Scotland,0.09,0.62,1.3,16.04,46.84,UEFA,0.278955845802749,37,🏴󠁧󠁢󠁳󠁣󠁴󠁿,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland
Qatar,0.08,0.46,0.88,17.49,56.92,AFC,0.227650576778409,41,🇶🇦,🇶🇦 Qatar
Haiti,0.07,0.38,0.86,15.48,51.09,CONCACAF,0.242117398839841,38,🇭🇹,🇭🇹 Haiti
DR Congo,0.07,0.49,0.93,16.67,54.74,CAF,0.240722586511198,39,🇨🇩,🇨🇩 DR Congo
Bosnia and Herzegovina,0.05,0.22,0.43,14.05,54.55,UEFA,0.179289033321482,46,🇧🇦,🇧🇦 Bosnia and Herzegovina
Panama,0.04,0.2,0.39,8.46,30.52,CONCACAF,0.215544773997676,42,🇵🇦,🇵🇦 Panama
Ecuador,0.04,0.24,0.36,10.24,38.89,CONMEBOL,0.17955542230254,45,🇪🇨,🇪🇨 Ecuador
South Africa,0.03,0.41,0.93,17.93,58.2,CAF,0.235530650016916,40,🇿🇦,🇿🇦 South Africa
Iraq,0.01,0.13,0.33,9.0,33.3,AFC,0.200168517139215,43,🇮🇶,🇮🇶 Iraq
Cape Verde,0.01,0.08,0.37,10.1,37.02,CAF,0.189877134125072,44,🇨🇻,🇨🇻 Cape Verde
Curacao,0.0,0.04,0.08,7.51,40.06,CONCACAF,0.0988333118416132,47,🇨🇼,🇨🇼 Curacao
Paraguay,0.0,0.03,0.07,4.52,26.45,CONMEBOL,0.0734458140954783,48,🇵🇾,🇵🇾 Paraguay
