Nation,avg_ovr,best_player_ovr,best_player,elite_count,worldclass_count,rank,avg_age,age_std,peak_count,aging_count,young_count,youngest,oldest,PAC,SHO,PAS,DRI,DEF,PHY,Defender,Forward,Goalkeeper,Midfielder,Winger
France,84.7,91,Kylian Mbappé,23,10,1,27.7,4.2,16.0,5.0,2.0,21.0,37.0,80.7,70.2,76.3,80.9,63.5,76.5,85.4,86.2,87.0,84.2,86.0
England,84.5,90,Jude Bellingham,23,10,2,27.3,3.9,12.0,7.0,4.0,21.0,34.0,77.0,71.3,79.1,81.4,65.4,75.0,84.4,87.5,83.0,85.8,85.2
Brazil,84.4,90,Vini Jr.,23,10,3,27.5,3.3,12.0,8.0,3.0,20.0,33.0,78.8,72.4,77.1,81.1,62.6,76.1,85.2,82.0,88.5,83.2,86.0
Germany,84.3,89,Marc-André ter Stegen,23,11,4,29.5,4.1,10.0,11.0,2.0,21.0,38.0,73.7,74.3,78.3,79.5,63.8,77.2,85.4,82.5,84.8,86.4,
Spain,84.1,91,Rodri,23,7,5,28.3,4.1,12.0,8.0,3.0,20.0,37.0,74.8,72.2,79.7,81.5,65.3,74.5,83.4,83.3,84.3,86.6,
Portugal,83.5,88,Rúben Dias,23,9,6,28.0,3.8,13.0,8.0,2.0,22.0,39.0,76.1,72.4,78.7,81.7,63.1,74.7,84.2,85.5,82.5,85.8,83.0
Argentina,83.5,89,Lautaro Martínez,23,5,7,29.3,3.9,10.0,12.0,1.0,23.0,37.0,75.0,73.7,77.3,80.6,63.0,76.4,82.8,84.5,82.8,84.8,88.0
Italy,83.3,89,Gianluigi Donnarumma,23,4,8,28.0,3.7,15.0,7.0,1.0,21.0,36.0,76.7,70.0,74.9,79.9,67.5,78.8,84.0,82.0,84.5,84.0,83.3
Croatia,78.3,86,Luka Modrić,8,1,9,28.1,4.4,14.0,7.0,2.0,21.0,39.0,71.0,68.8,72.8,77.7,59.8,73.7,77.6,77.4,78.0,82.2,76.0
Morocco,78.0,84,Yassine Bounou,6,0,10,28.0,4.6,12.0,8.0,3.0,20.0,37.0,74.3,68.4,71.1,76.7,53.4,72.0,78.8,79.2,84.0,79.0,76.0
Nigeria,77.0,87,Victor Osimhen,4,1,11,27.0,3.1,18.0,3.0,2.0,23.0,35.0,80.7,68.5,64.9,74.8,47.6,74.3,75.2,81.0,,76.6,80.0
Japan,76.7,81,Daichi Kamada,4,0,12,27.2,2.6,19.0,3.0,1.0,23.0,34.0,77.9,63.1,68.7,74.3,58.9,69.0,76.8,75.5,,80.0,77.5
Senegal,76.3,84,Kalidou Koulibaly,3,0,13,27.3,4.2,10.0,8.0,5.0,20.0,34.0,75.7,64.5,66.4,73.8,56.0,72.2,77.0,76.8,77.5,77.8,76.0
United States,75.8,83,Christian Pulisic,1,0,14,24.7,3.3,10.0,3.0,10.0,21.0,34.0,78.0,61.4,67.7,74.3,61.4,72.3,77.2,75.3,74.0,76.6,83.0
South Korea,74.6,87,Heung Min Son,2,1,15,28.7,3.9,11.0,10.0,2.0,22.0,35.0,75.5,68.1,67.4,74.0,50.3,71.8,77.5,76.6,74.0,75.8,
Australia,71.1,78,Mathew Ryan,0,0,16,27.8,3.6,13.0,8.0,2.0,20.0,33.0,70.5,60.0,63.7,67.6,58.0,73.0,71.2,69.3,72.0,73.2,
Mexico,71.1,81,Edson Álvarez,1,0,17,26.1,4.2,11.0,4.0,8.0,19.0,34.0,71.5,58.2,61.9,67.9,54.2,68.9,73.0,73.8,63.0,74.2,78.0
Iran,70.0,80,Mehdi Taremi,1,0,18,28.9,3.3,4.0,4.0,1.0,23.0,34.0,71.6,58.9,63.0,68.0,54.0,70.4,70.0,80.0,71.0,67.2,
New Zealand,67.4,76,Chris Wood,0,0,19,26.9,4.6,10.0,6.0,7.0,19.0,36.0,68.7,58.1,61.3,65.5,54.5,70.2,68.2,72.0,67.7,68.4,65.0
Netherlands,66.1,71,Myziane Maolida,0,0,20,27.7,5.1,6.0,4.0,2.0,21.0,36.0,72.3,55.0,59.8,67.8,48.8,60.9,66.8,,,66.4,69.0
