Nation,Position,Avg OVR
France,Goalkeeper,87.0
England,Goalkeeper,83.0
Brazil,Goalkeeper,88.5
Germany,Goalkeeper,84.8
Spain,Goalkeeper,84.3
Portugal,Goalkeeper,82.5
Argentina,Goalkeeper,82.8
Croatia,Goalkeeper,78.0
Morocco,Goalkeeper,84.0
Japan,Goalkeeper,
Senegal,Goalkeeper,77.5
United States,Goalkeeper,74.0
South Korea,Goalkeeper,74.0
Australia,Goalkeeper,72.0
Mexico,Goalkeeper,63.0
Iran,Goalkeeper,71.0
New Zealand,Goalkeeper,67.7
Netherlands,Goalkeeper,
France,Defender,85.4
England,Defender,84.4
Brazil,Defender,85.2
Germany,Defender,85.4
Spain,Defender,83.4
Portugal,Defender,84.2
Argentina,Defender,82.8
Croatia,Defender,77.6
Morocco,Defender,78.8
Japan,Defender,76.8
Senegal,Defender,77.0
United States,Defender,77.2
South Korea,Defender,77.5
Australia,Defender,71.2
Mexico,Defender,73.0
Iran,Defender,70.0
New Zealand,Defender,68.2
Netherlands,Defender,66.8
France,Midfielder,84.2
England,Midfielder,85.8
Brazil,Midfielder,83.2
Germany,Midfielder,86.4
Spain,Midfielder,86.6
Portugal,Midfielder,85.8
Argentina,Midfielder,84.8
Croatia,Midfielder,82.2
Morocco,Midfielder,79.0
Japan,Midfielder,80.0
Senegal,Midfielder,77.8
United States,Midfielder,76.6
South Korea,Midfielder,75.8
Australia,Midfielder,73.2
Mexico,Midfielder,74.2
Iran,Midfielder,67.2
New Zealand,Midfielder,68.4
Netherlands,Midfielder,66.4
France,Winger,86.0
England,Winger,85.2
Brazil,Winger,86.0
Germany,Winger,
Spain,Winger,
Portugal,Winger,83.0
Argentina,Winger,88.0
Croatia,Winger,76.0
Morocco,Winger,76.0
Japan,Winger,77.5
Senegal,Winger,76.0
United States,Winger,83.0
South Korea,Winger,
Australia,Winger,
Mexico,Winger,78.0
Iran,Winger,
New Zealand,Winger,65.0
Netherlands,Winger,69.0
France,Forward,86.2
England,Forward,87.5
Brazil,Forward,82.0
Germany,Forward,82.5
Spain,Forward,83.3
Portugal,Forward,85.5
Argentina,Forward,84.5
Croatia,Forward,77.4
Morocco,Forward,79.2
Japan,Forward,75.5
Senegal,Forward,76.8
United States,Forward,75.3
South Korea,Forward,76.6
Australia,Forward,69.3
Mexico,Forward,73.8
Iran,Forward,80.0
New Zealand,Forward,72.0
Netherlands,Forward,
