TEAM,Stage,Probability,Flag,Team with Flag
Spain,1. Group Stage,98.55,🇪🇸,🇪🇸 Spain
England,1. Group Stage,96.9,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,1. Group Stage,87.14,🇫🇷,🇫🇷 France
Argentina,1. Group Stage,79.8,🇦🇷,🇦🇷 Argentina
Portugal,1. Group Stage,91.04,🇵🇹,🇵🇹 Portugal
Germany,1. Group Stage,96.79,🇩🇪,🇩🇪 Germany
Netherlands,1. Group Stage,87.06,🇳🇱,🇳🇱 Netherlands
Brazil,1. Group Stage,89.5,🇧🇷,🇧🇷 Brazil
Morocco,1. Group Stage,81.72,🇲🇦,🇲🇦 Morocco
Croatia,1. Group Stage,73.46,🇭🇷,🇭🇷 Croatia
Japan,1. Group Stage,73.44,🇯🇵,🇯🇵 Japan
Belgium,1. Group Stage,83.25,🇧🇪,🇧🇪 Belgium
Iran,1. Group Stage,74.0,🇮🇷,🇮🇷 Iran
Australia,1. Group Stage,86.55,🇦🇺,🇦🇺 Australia
Ivory Coast,1. Group Stage,84.42,🇨🇮,🇨🇮 Ivory Coast
Spain,2. Round of 16,77.13,🇪🇸,🇪🇸 Spain
England,2. Round of 16,74.66,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,2. Round of 16,64.86,🇫🇷,🇫🇷 France
Argentina,2. Round of 16,60.11,🇦🇷,🇦🇷 Argentina
Portugal,2. Round of 16,66.16,🇵🇹,🇵🇹 Portugal
Germany,2. Round of 16,66.24,🇩🇪,🇩🇪 Germany
Netherlands,2. Round of 16,61.35,🇳🇱,🇳🇱 Netherlands
Brazil,2. Round of 16,57.92,🇧🇷,🇧🇷 Brazil
Morocco,2. Round of 16,51.29,🇲🇦,🇲🇦 Morocco
Croatia,2. Round of 16,46.48,🇭🇷,🇭🇷 Croatia
Japan,2. Round of 16,44.73,🇯🇵,🇯🇵 Japan
Belgium,2. Round of 16,48.04,🇧🇪,🇧🇪 Belgium
Iran,2. Round of 16,41.24,🇮🇷,🇮🇷 Iran
Australia,2. Round of 16,47.41,🇦🇺,🇦🇺 Australia
Ivory Coast,2. Round of 16,43.45,🇨🇮,🇨🇮 Ivory Coast
Spain,3. Semi Final,41.66,🇪🇸,🇪🇸 Spain
England,3. Semi Final,37.75,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,3. Semi Final,29.29,🇫🇷,🇫🇷 France
Argentina,3. Semi Final,28.0,🇦🇷,🇦🇷 Argentina
Portugal,3. Semi Final,27.86,🇵🇹,🇵🇹 Portugal
Germany,3. Semi Final,23.95,🇩🇪,🇩🇪 Germany
Netherlands,3. Semi Final,23.57,🇳🇱,🇳🇱 Netherlands
Brazil,3. Semi Final,18.92,🇧🇷,🇧🇷 Brazil
Morocco,3. Semi Final,15.71,🇲🇦,🇲🇦 Morocco
Croatia,3. Semi Final,13.82,🇭🇷,🇭🇷 Croatia
Japan,3. Semi Final,11.9,🇯🇵,🇯🇵 Japan
Belgium,3. Semi Final,11.21,🇧🇪,🇧🇪 Belgium
Iran,3. Semi Final,9.73,🇮🇷,🇮🇷 Iran
Australia,3. Semi Final,9.73,🇦🇺,🇦🇺 Australia
Ivory Coast,3. Semi Final,8.45,🇨🇮,🇨🇮 Ivory Coast
Spain,4. Final,20.55,🇪🇸,🇪🇸 Spain
England,4. Final,18.58,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,4. Final,14.58,🇫🇷,🇫🇷 France
Argentina,4. Final,14.09,🇦🇷,🇦🇷 Argentina
Portugal,4. Final,14.07,🇵🇹,🇵🇹 Portugal
Germany,4. Final,12.08,🇩🇪,🇩🇪 Germany
Netherlands,4. Final,11.69,🇳🇱,🇳🇱 Netherlands
Brazil,4. Final,9.6,🇧🇷,🇧🇷 Brazil
Morocco,4. Final,7.83,🇲🇦,🇲🇦 Morocco
Croatia,4. Final,6.98,🇭🇷,🇭🇷 Croatia
Japan,4. Final,6.11,🇯🇵,🇯🇵 Japan
Belgium,4. Final,5.74,🇧🇪,🇧🇪 Belgium
Iran,4. Final,4.9,🇮🇷,🇮🇷 Iran
Australia,4. Final,4.63,🇦🇺,🇦🇺 Australia
Ivory Coast,4. Final,4.35,🇨🇮,🇨🇮 Ivory Coast
Spain,5. Winner,13.99,🇪🇸,🇪🇸 Spain
England,5. Winner,12.2,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
France,5. Winner,9.13,🇫🇷,🇫🇷 France
Argentina,5. Winner,8.65,🇦🇷,🇦🇷 Argentina
Portugal,5. Winner,8.0,🇵🇹,🇵🇹 Portugal
Germany,5. Winner,6.61,🇩🇪,🇩🇪 Germany
Netherlands,5. Winner,6.58,🇳🇱,🇳🇱 Netherlands
Brazil,5. Winner,4.67,🇧🇷,🇧🇷 Brazil
Morocco,5. Winner,3.5,🇲🇦,🇲🇦 Morocco
Croatia,5. Winner,3.34,🇭🇷,🇭🇷 Croatia
Japan,5. Winner,2.64,🇯🇵,🇯🇵 Japan
Belgium,5. Winner,2.51,🇧🇪,🇧🇪 Belgium
Iran,5. Winner,1.94,🇮🇷,🇮🇷 Iran
Australia,5. Winner,1.84,🇦🇺,🇦🇺 Australia
Ivory Coast,5. Winner,1.56,🇨🇮,🇨🇮 Ivory Coast
