TEAM,matches_played,goals_scored,goals_conceded,clean_sheets,wins,draws,losses,goals_per_game,goals_conceded_per_game,goal_diff_per_game,cleansheet_pct,win_rate,wc_appearances,recent_win_rate,wc2022_stage,composite_score,rank
Spain,344,782,258,168,229,68,47,2.2732558139534884,0.75,1.5232558139534884,0.4883720930232558,0.6656976744186046,12,0.6976744186046512,2.0,0.8310369784668502,1
France,333,626,261,157,202,79,52,1.87987987987988,0.7837837837837838,1.0960960960960962,0.47147147147147145,0.6066066066066066,10,0.6046511627906976,6.0,0.7920559904952762,2
England,351,694,223,199,206,92,53,1.9772079772079771,0.6353276353276354,1.3418803418803418,0.5669515669515669,0.5868945868945868,10,0.625,3.0,0.7907234242128817,3
Argentina,346,563,300,148,189,92,65,1.6271676300578035,0.8670520231213873,0.7601156069364162,0.4277456647398844,0.546242774566474,12,0.6944444444444444,7.0,0.7694646295012094,4
Netherlands,331,725,265,160,208,64,59,2.190332326283988,0.8006042296072508,1.3897280966767371,0.48338368580060426,0.6283987915407855,8,0.5813953488372093,3.0,0.7607264577258749,5
Australia,269,673,217,128,160,53,56,2.5018587360594795,0.8066914498141264,1.695167286245353,0.4758364312267658,0.5947955390334573,5,0.6176470588235294,2.0,0.7507400015833233,6
Brazil,361,707,271,177,217,87,57,1.9584487534626038,0.7506925207756233,1.2077562326869806,0.4903047091412742,0.6011080332409973,12,0.46875,3.0,0.736945845949842,7
Portugal,325,633,263,158,192,73,60,1.9476923076923076,0.8092307692307692,1.1384615384615384,0.48615384615384616,0.5907692307692308,7,0.6818181818181818,3.0,0.7256163329024312,8
South Korea,445,880,343,227,252,115,78,1.9775280898876404,0.7707865168539326,1.2067415730337079,0.5101123595505618,0.5662921348314607,10,0.5757575757575758,2.0,0.7179660117509457,9
Iran,331,702,231,178,198,82,51,2.120845921450151,0.6978851963746223,1.4229607250755287,0.5377643504531722,0.5981873111782477,6,0.6470588235294118,0.0,0.7025977059956925,10
Germany,345,795,318,143,221,72,52,2.3043478260869565,0.9217391304347826,1.382608695652174,0.4144927536231884,0.6405797101449275,12,0.5,0.0,0.6982926344554405,11
Japan,436,851,376,205,241,93,102,1.951834862385321,0.8623853211009175,1.0894495412844036,0.4701834862385321,0.5527522935779816,7,0.6923076923076923,2.0,0.6837258980835955,12
Morocco,317,472,217,170,162,90,65,1.4889589905362777,0.6845425867507886,0.804416403785489,0.5362776025236593,0.5110410094637224,5,0.7021276595744681,4.0,0.6702767477003884,13
Croatia,250,434,232,107,135,65,50,1.736,0.928,0.808,0.428,0.54,6,0.5227272727272727,5.0,0.6444341122178509,14
Mexico,391,744,359,173,219,86,86,1.9028132992327367,0.9181585677749361,0.9846547314578005,0.4424552429667519,0.5601023017902813,10,0.631578947368421,0.0,0.6346229111381503,15
United States,350,608,330,152,193,65,92,1.737142857142857,0.9428571428571428,0.7942857142857143,0.4342857142857143,0.5514285714285714,8,0.5384615384615384,2.0,0.6069808639928225,16
Italy,342,560,271,158,193,100,49,1.6374269005847952,0.7923976608187134,0.8450292397660819,0.4619883040935672,0.564327485380117,10,0.5,0.0,0.5871639369025847,17
New Zealand,176,357,184,82,92,30,54,2.028409090909091,1.0454545454545454,0.9829545454545454,0.4659090909090909,0.5227272727272727,2,0.6818181818181818,0.0,0.5779757593593327,18
Senegal,348,517,263,169,178,98,72,1.485632183908046,0.7557471264367817,0.7298850574712644,0.48563218390804597,0.5114942528735632,3,0.6382978723404256,2.0,0.5689000253867261,19
Nigeria,336,525,251,167,182,88,66,1.5625,0.7470238095238095,0.8154761904761905,0.49702380952380953,0.5416666666666666,6,0.5813953488372093,0.0,0.5676856249477431,20
Belgium,308,581,310,124,167,64,77,1.8863636363636365,1.0064935064935066,0.8798701298701299,0.4025974025974026,0.5422077922077922,9,0.4864864864864865,0.0,0.5628798553851566,21
Ivory Coast,311,527,271,145,162,88,61,1.6945337620578778,0.8713826366559485,0.8231511254019293,0.4662379421221865,0.5209003215434084,3,0.631578947368421,0.0,0.5410508803174803,22
Cameroon,365,545,305,170,189,106,70,1.4931506849315068,0.8356164383561644,0.6575342465753424,0.4657534246575342,0.5178082191780822,8,0.5128205128205128,0.0,0.5333304824371216,23
Saudi Arabia,424,707,399,194,222,95,107,1.6674528301886793,0.9410377358490566,0.7264150943396226,0.45754716981132076,0.5235849056603774,6,0.4444444444444444,0.0,0.5161038929949539,24
Algeria,327,537,309,134,164,86,77,1.6422018348623852,0.944954128440367,0.6972477064220184,0.40978593272171254,0.5015290519877675,4,0.6410256410256411,0.0,0.5092038899806234,25
Denmark,324,560,305,134,168,82,74,1.728395061728395,0.941358024691358,0.7870370370370371,0.41358024691358025,0.5185185185185185,6,0.4594594594594595,0.0,0.5086410894430364,26
Egypt,362,574,286,170,189,95,78,1.5856353591160222,0.7900552486187845,0.7955801104972375,0.4696132596685083,0.5220994475138122,2,0.5531914893617021,0.0,0.5076089130216909,27
Romania,300,498,281,124,149,80,71,1.66,0.9366666666666666,0.7233333333333334,0.41333333333333333,0.49666666666666665,3,0.5294117647058824,0.0,0.47938538226863653,28
Tunisia,316,456,274,133,148,87,81,1.4430379746835442,0.8670886075949367,0.5759493670886076,0.4208860759493671,0.46835443037974683,6,0.5227272727272727,0.0,0.4728435561319186,29
Sweden,320,535,308,131,160,70,90,1.671875,0.9625,0.709375,0.409375,0.5,6,0.35714285714285715,0.0,0.4689939713018003,30
Iraq,366,614,332,145,182,95,89,1.6775956284153006,0.907103825136612,0.7704918032786885,0.39617486338797814,0.4972677595628415,1,0.5652173913043478,0.0,0.46702872673946577,31
Czech Republic,230,399,220,97,127,40,63,1.7347826086956522,0.9565217391304348,0.7782608695652173,0.4217391304347826,0.5521739130434783,1,0.40625,0.0,0.46593185798041625,32
Poland,283,458,331,101,129,68,86,1.6183745583038869,1.1696113074204948,0.44876325088339225,0.3568904593639576,0.4558303886925795,7,0.3684210526315789,2.0,0.46289324398506865,33
Switzerland,277,442,308,102,122,81,74,1.595667870036101,1.111913357400722,0.48375451263537905,0.36823104693140796,0.4404332129963899,6,0.40540540540540543,2.0,0.4625848223161155,34
China PR,375,713,337,170,190,82,103,1.9013333333333333,0.8986666666666666,1.0026666666666666,0.4533333333333333,0.5066666666666667,1,0.23076923076923078,0.0,0.4553684518798359,35
Costa Rica,350,540,374,127,161,87,102,1.542857142857143,1.0685714285714285,0.4742857142857143,0.3628571428571429,0.46,6,0.5263157894736842,0.0,0.44558282707555263,36
Ghana,329,474,276,145,167,82,80,1.4407294832826747,0.8389057750759878,0.601823708206687,0.44072948328267475,0.5075987841945289,4,0.3611111111111111,0.0,0.4430704712402632,37
