TEAM,matches_played,goals_scored,goals_conceded,clean_sheets,wins,draws,losses,goals_per_game,goals_conceded_per_game,goal_diff_per_game,cleansheet_pct,win_rate,wc_appearances,confederation,recent_win_rate,wc2022_stage,conf_multiplier,composite_score,rank,Flag,Team with Flag
Spain,181,425,127,97,132,30,19,2.348066298342541,0.7016574585635359,1.6464088397790055,0.5359116022099447,0.7292817679558011,5,UEFA,0.6976744186046512,2.0,1.0,0.8187642292516775,1,🇪🇸,🇪🇸 Spain
England,164,373,104,95,105,37,22,2.274390243902439,0.6341463414634146,1.6402439024390243,0.5792682926829268,0.6402439024390244,5,UEFA,0.625,3.0,1.0,0.7950407617641199,2,🏴󠁧󠁢󠁥󠁮󠁧󠁿,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England
Argentina,165,270,130,79,95,42,28,1.6036363636363635,0.7878787878787878,0.8315151515151515,0.4692121212121212,0.5642424242424243,5,CONMEBOL,0.6944444444444444,7.0,0.98,0.7690695987179039,3,🇦🇷,🇦🇷 Argentina
France,167,308,130,79,102,40,25,1.844311377245509,0.7784431137724551,1.065868263473054,0.4730538922155688,0.6107784431137725,5,UEFA,0.6046511627906976,6.0,1.0,0.7555808010930836,4,🇫🇷,🇫🇷 France
Portugal,181,370,146,87,111,43,27,2.044198895027624,0.8066298342541437,1.2375690607734806,0.4806629834254143,0.6132596685082873,5,UEFA,0.6818181818181818,3.0,1.0,0.7248439420376938,5,🇵🇹,🇵🇹 Portugal
Netherlands,163,367,144,73,107,26,30,2.251533742331288,0.8834355828220859,1.3680981595092023,0.4478527607361963,0.656441717791411,4,UEFA,0.5813953488372093,3.0,1.0,0.6902825403899462,6,🇳🇱,🇳🇱 Netherlands
Germany,170,440,153,72,118,27,25,2.588235294117647,0.9,1.688235294117647,0.4235294117647059,0.6941176470588235,5,UEFA,0.5,1.0,1.0,0.6648824622996322,7,🇩🇪,🇩🇪 Germany
Brazil,151,285,107,77,91,37,23,1.8496688741721847,0.7086092715231788,1.1552317880794702,0.4997350993377484,0.5905960264900662,5,CONMEBOL,0.46875,3.0,0.98,0.6262960046109373,8,🇧🇷,🇧🇷 Brazil
Morocco,133,223,84,76,76,33,24,1.4754887218045114,0.631578947368421,0.9196992481203008,0.5028571428571428,0.5028571428571428,2,CAF,0.7021276595744681,4.0,0.88,0.6109800146223897,9,🇲🇦,🇲🇦 Morocco
Croatia,170,295,162,73,92,41,37,1.7352941176470589,0.9529411764705882,0.7823529411764706,0.4294117647058823,0.5411764705882353,4,UEFA,0.5227272727272727,5.0,1.0,0.6037276309823334,10,🇭🇷,🇭🇷 Croatia
Japan,204,433,163,103,121,44,39,1.6980392156862747,0.7990196078431373,1.0588235294117647,0.403921568627451,0.4745098039215686,5,AFC,0.6923076923076923,2.0,0.8,0.5730453541452809,11,🇯🇵,🇯🇵 Japan
Belgium,155,342,149,67,95,24,36,2.206451612903226,0.9612903225806452,1.2451612903225806,0.432258064516129,0.6129032258064516,3,UEFA,0.4864864864864865,1.0,1.0,0.5414806771117262,12,🇧🇪,🇧🇪 Belgium
Iran,154,294,98,87,94,41,19,1.5272727272727271,0.6363636363636364,1.0181818181818183,0.451948051948052,0.4883116883116883,4,AFC,0.6470588235294118,1.0,0.8,0.5228021932148127,13,🇮🇷,🇮🇷 Iran
Australia,152,291,123,71,86,35,31,1.5315789473684212,0.8092105263157895,0.8842105263157896,0.3736842105263158,0.4526315789473684,5,AFC,0.6176470588235294,2.0,0.8,0.5019471804148411,14,🇦🇺,🇦🇺 Australia
Senegal,148,249,108,74,86,39,23,1.4805405405405403,0.7297297297297297,0.8383783783783784,0.44,0.5113513513513513,2,CAF,0.6382978723404256,2.0,0.88,0.5007676310699315,15,🇸🇳,🇸🇳 Senegal
South Korea,151,268,115,75,83,44,24,1.4198675496688742,0.7615894039735099,0.8105960264900663,0.3973509933774835,0.4397350993377484,5,AFC,0.5757575757575758,2.0,0.8,0.480470758330594,16,🇰🇷,🇰🇷 South Korea
Mexico,190,327,163,88,112,36,42,1.4112631578947368,0.8578947368421053,0.7077894736842105,0.3797894736842105,0.4833684210526315,5,CONCACAF,0.631578947368421,1.0,0.82,0.4787356798998898,17,🇲🇽,🇲🇽 Mexico
Ivory Coast,156,288,124,77,91,39,26,1.6246153846153848,0.7948717948717948,0.9251282051282051,0.4343589743589743,0.5133333333333334,3,CAF,0.631578947368421,0.0,0.88,0.4726519739494964,18,🇨🇮,🇨🇮 Ivory Coast
